LicenseTermID,Standard,TemplateSection,Markdown,When to include,When to Include (Identifier),Additional Text Processing Instructions,Other Notes
license:relevantLaws:CMR,Law: CMR,TERMS:RELEVANT LAWS,"""Mass. Gen. Laws chs. 93H, 93I; 201 Mass. Code Regs. 17.00 (""Massachusetts data security law"")""",If CMR (statute or regulation) is in scope,data:CMR:identifiable AND (dataRecipient:CMR:inScopeRegulation OR dataRecipient:CMR:inScopeStatute),,
license:definitions:CMR:shortname,Law: CMR,TERMS:DEFINITIONS,"""*Massachusetts data security law* refers to Mass. Gen. Laws chs. 93H, 93I; 201 Mass. Code Regs. 17.00.""",If CMR (statute or regulation) is in scope,data:CMR:identifiable AND (dataRecipient:CMR:inScopeRegulation OR dataRecipient:CMR:inScopeStatute),,
license:definitions:CMR:PI,Law: CMR,TERMS:DEFINITIONS,"""*Personal information (Massachusetts data security law)*. As defined by the Massachusetts data security law, personal information is a Massachusetts resident's first name and last name or first initial and last name in combination with any one or more of the following data elements that relate to such resident: (a) Social Security number; (b) driver's license number or state-issued identification card number; or (c) financial account number, or credit or debit card number, with or without any required security code, access code, personal identification number or password, that would permit access to a resident's financial account; provided, however, that 'Personal information' shall not include information that is lawfully obtained from publicly available information, or from federal, state or local government records lawfully made available to the general public.""",If CMR (statute or regulation) is in scope,data:CMR:identifiable AND (dataRecipient:CMR:inScopeRegulation OR dataRecipient:CMR:inScopeStatute),,
license:security:CMR:WISP,Law: CMR,TERMS:SECURITY,"""implement, maintain, and enforce a written security plan that
    (i) contains administrative, technical, and physical safeguards;
    (ii) is appropriate given size, scope, and type of business; available resources; amount of data; and need for security of data;
    (iii) is consistent with any federal or state regulations that protect data of a similar character by which the actor may be regulated,
    (iv) designates employee(s) to oversee implementation of the security plan;
    (v) identifies and assesses reasonably foreseeable risks to security, confidentiality, or integrity of any records containing *personal information (Massachusetts data security law)*;
    (vi) evaluates and improves the effectiveness of current safeguards such as employee training, employee compliance with policies and procedures, and detection of security failures;
    (vii) develops security policies for employees relating to storage, access, and transportation of records containing *personal information (Massachusetts data security law)* outside of business premises;
    (viii) imposes disciplinary measures for violation of security plan rules;
    (ix) prevents terminated employees from accessing records containing *personal information (Massachusetts data security law)*;
    (x) selects and retains service providers that are capable at maintaining security measures consistent with these regulations and applicable federal regulations;
    (xi) requires service providers by contract to implement and maintain appropriate security measures for *personal information (Massachusetts data security law)*;
    (xii) imposes reasonable restrictions upon physical access to records containing *personal information (Massachusetts data security law)*;
    (xiii) requires storage of records containing *personal information (Massachusetts data security law)* in locked facilities, storage areas, or containers;
    (xiv) requires regular monitoring to ensure security plan is reasonably preventing unauthorized access or use and upgrading safeguards as necessary to limit risks;
    (xv) requires review of the scope of security measures at least annually or whenever this is a material change in business practices that may reasonably implicate the security or integrity of records containing *personal information (Massachusetts data security law)*;
    (xvi) requires documenting responsible actions taken in connection with a breach of security and mandatory post-incident review of events and action taken""",If CMR (regulation) is in scope,data:CMR:identifiable AND dataRecipient:CMR:inScopeRegulation,,
license:security:CMR:authentication,Law: CMR,TERMS:SECURITY,"""maintain secure user authentication protocols (including control of user IDs and passwords, a reasonably secure method of assigning and selecting passwords or use of unique identifier technologies such as biometrics or token devices, restricting access to active user accounts only, and blocking access after multiple unsuccessful attempts to gain access)""",If CMR (regulation) is in scope,data:CMR:identifiable AND dataRecipient:CMR:inScopeRegulation,,
license:security:CMR:access,Law: CMR,TERMS:SECURITY,"""maintain secure access controls (including restricting access to records and files to those who need such information to perform their job duties and assigning unique identifications plus passwords to each person with computer access)""",If CMR (regulation) is in scope,data:CMR:identifiable AND dataRecipient:CMR:inScopeRegulation,,
license:security:CMR:encryptedTransit,Law: CMR,TERMS:SECURITY,"""require encryption of all data containing *personal information (Massachusetts data security law)* to travel across public networks or wireless networks""",If CMR (regulation) is in scope,data:CMR:identifiable AND dataRecipient:CMR:inScopeRegulation,,
license:security:CMR:encryptedStorage,Law: CMR,TERMS:SECURITY,"""require encryption of all *personal information (Massachusetts data security law)* stored on laptops or other portable devices""",If CMR (regulation) is in scope,data:CMR:identifiable AND dataRecipient:CMR:inScopeRegulation,,
license:security:CMR:monitoring,Law: CMR,TERMS:SECURITY,"""maintain reasonable monitoring of systems for unauthorized use or access to *personal information (Massachusetts data security law)*""",If CMR (regulation) is in scope,data:CMR:identifiable AND dataRecipient:CMR:inScopeRegulation,,
license:security:CMR:training,Law: CMR,TERMS:SECURITY,"""require education and training of employees on proper use of the computer security system and the importance of information security""",If CMR (regulation) is in scope,data:CMR:identifiable AND dataRecipient:CMR:inScopeRegulation,,
